"HospitalCode","HospitalName","AddressLine1","AddressLine2","AddressLine2QF","AddressLine3","AddressLine3QF","AddressLine4","AddressLine4QF","Postcode","HealthBoard","HSCP","CouncilArea","IntermediateZone","DataZone","NAME","TOTPOP2011","RESPOP2011","HHCNT2011","STDAREAHA","STDAREAKM2","POPULATION","Month","Country","HBT","DepartmentType","NumberOfAttendancesAll","NumberWithin4HoursAll","NumberOver4HoursAll","NumberOfAttendancesEpisode","NumberWithin4HoursEpisode","NumberWithin4HoursEpisodeQF","NumberOver4HoursEpisode","NumberOver8HoursEpisode","NumberOver12HoursEpisode"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"S02001881",NA,"Glenwood South",5159,5056,2487,95.976979,0.959772,4953,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"S02001882",NA,"Glenwood North",4319,4231,1890,116.703869,1.167037,4313,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"S02001883",NA,"Castlemilk",4905,4900,2341,75.515797,0.755156,4980,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"S02001884",NA,"Kingspark South",4157,4157,1727,100.976722,1.009767,4026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"S02001885",NA,"Kingspark North",4368,4368,1774,67.269157,0.672688,4069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"S02001886",NA,"Cathcart",4798,4797,2780,79.104296,0.791045,5411,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"S02001887",NA,"Mount Florida",4172,4147,2264,57.462861,0.57463,4395,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"S02001888",NA,"Toryglen and Oatlands",5646,5645,2812,197.209169,1.972097,6814,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"S02001890",NA,"Laurieston and Tradeston",5001,4449,2546,218.015415,2.180155,6156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"S02001891",NA,"Calton and Gallowgate",3987,3951,2403,102.883029,1.028829,4602,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
